price,beds,baths,sqft,sqftlot,broker,address
"$475,000",4bed,3.5+bath,"4,788sqft",0.37acre lot,Better Homes and Gardens Real Estate The Good Life Group,"1724 N 127th St, Omaha, NE 68154"
"$274,900",4bed,2.5bath,"2,352sqft","6,098sqft lot",NP Dodge - Sarpy County Branch Office,"19011 Hansen St, Omaha, NE 68130"
"$310,000",2bed,2bath,"1,540sqft","7,405sqft lot",NP Dodge - 148Dodge Branch Office,"573 S 184th St, Omaha, NE 68022"
"$120,000",3bed,1bath,"1,360sqft",566sqft lot,Bhhs Ambassador Real Estate,"3540 N 47th Ave, Omaha, NE 68104"
"$135,000",2bed,1bath,"1,040sqft","5,227sqft lot",BHHS Ambassador Real Estate,"1347 S 51st Ave, Omaha, NE 68106"
"$289,900",3bed,3.5+bath,"2,085sqft","6,970sqft lot",P J MORGAN REAL ESTATE,"14809 H St, Omaha, NE 68137"
"$395,000",4bed,3bath,"3,725sqft","8,276sqft lot",BHHS Ambassador Real Estate,"4730 N 174th Ave, Omaha, NE 68116"
"$219,000",3bed,2bath,"1,449sqft","4,356sqft lot",Realty One Group Sterling,"7959 Bartlett St, Omaha, NE 68122"
"$354,000",5bed,3.5bath,"3,300sqft","8,712sqft lot",Exp Realty Llc,"17302 Pine Cir, Omaha, NE 68130"
"$229,000",4bed,3bath,"1,904sqft","6,970sqft lot",BHHS Ambassador Real Estate,"19605 W St, Omaha, NE 68135"
"$175,000",4bed,3bath,"1,700sqft","6,098sqft lot",Nebraska Realty,"1539 Monroe St, Omaha, NE 68107"
"$220,000",3bed,2.5bath,"1,502sqft","5,663sqft lot",Nebraska Realty,"8197 Willit St, Omaha, NE 68122"
"$529,950",4bed,3.5bath,"3,406sqft",0.26acre lot,BHHS Ambassador Real Estate,"17542 Jones St, Omaha, NE 68118"
"$193,000",3bed,1.5bath,"1,743sqft","8,750sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"9818 Pratt St, Omaha, NE 68134"
"$600,000",4bed,2.5+bath,"4,803sqft","3,777sqft lot",BHHS Ambassador Real Estate,"13606 Seward St, Omaha, NE 68154"
"$350,000",5bed,3bath,"3,235sqft","9,804sqft lot",BHHS Ambassador Real Estate,"17124 Patterson Dr, Omaha, NE 68135"
"$285,000",3bed,2.5bath,"2,298sqft","8,276sqft lot",kwELITE Real Estate,"15815 Berry St, Omaha, NE 68135"
"$499,000",4bed,3bath,"2,608sqft",0.25acre lot,Bhhs Ambassador Real Estate,"2220 S 91st St, Omaha, NE 68124"
"$235,000",3bed,2.5bath,"2,110sqft","5,227sqft lot",BHHS Ambassador Real Estate,"5802 S 115th Cir, Omaha, NE 68137"
"$330,000",3bed,3bath,"2,162sqft","7,560sqft lot",BHHS Ambassador Real Estate,"13473 Meredith Ave, Omaha, NE 68164"
"$285,000",4bed,2.5bath,"2,947sqft","9,148sqft lot",Bhhs Ambassador Real Estate,"1410 S 134th St, Omaha, NE 68144"
"$175,000",4bed,1.5bath,"1,878sqft","7,405sqft lot",RE/MAX Results,"4710 Parker St, Omaha, NE 68104"
"$252,500",3bed,2.5bath,"1,548sqft","6,970sqft lot",Bhhs Ambassador Real Estate,"15206 Ontario St, Omaha, NE 68144"
"$230,000",4bed,2.5bath,"1,825sqft",0.26acre lot,BHHS Ambassador Real Estate,"9607 Boyd Cir, Omaha, NE 68134"
"$200,000",3bed,1.5bath,"1,346sqft","6,098sqft lot",kwELITE Real Estate,"5818 Cedar St, Omaha, NE 68106"
"$215,000",3bed,2bath,"1,475sqft","6,098sqft lot",RE/MAX Results,"6339 N 115th Cir, Omaha, NE 68164"
"$260,000",3bed,2bath,"2,027sqft","7,405sqft lot",kwELITE Real Estate,"6712 S 108th Ter, Omaha, NE 68137"
"$269,900",3bed,3bath,"2,205sqft",0.27acre lot,Bhhs Ambassador Real Estate,"11657 Meredith Ave, Omaha, NE 68164"
"$325,000",2bed,2.5bath,"2,564sqft",,Bhhs Ambassador Real Estate,"9777 Hamilton Plz, Omaha, NE 68114"
"$234,900",3bed,2.5bath,"1,855sqft","6,534sqft lot",Bhhs Ambassador Real Estate,"13322 Emiline St, Omaha, NE 68138"
"$200,000",3bed,2bath,"1,378sqft",0.25acre lot,NP Dodge - 148Dodge Branch Office,"10809 T Cir, Omaha, NE 68137"
"$265,000",4bed,2.5bath,"1,968sqft",0.27acre lot,Bhhs Ambassador Real Estate,"3515 S 116th Ave, Omaha, NE 68144"
"$235,000",3bed,2bath,"1,405sqft","8,001sqft lot",NP Dodge - 204Dodge Branch Office,"6611 S 137th Cir, Omaha, NE 68137"
"$600,000",4bed,5bath,"4,432sqft",0.25acre lot,kwELITE Real Estate,"2320 S 186th Cir, Omaha, NE 68130"
"$579,411",5bed,4bath,"3,118sqft",0.36acre lot,BHHS Ambassador Real Estate,"3313 N 178th St, Omaha, NE 68116"
"$229,900",2bed,2bath,"1,574sqft","7,320sqft lot",Bhhs Ambassador Real Estate,"13316 Ellison Ave, Omaha, NE 68164"
"$285,000",2bed,3bath,"2,043sqft","7,990sqft lot",Nebraska Realty Sarpy County,"13227 Willis Cir, Omaha, NE 68164"
"$324,900",3bed,2bath,"2,359sqft",,Jill Jones Broker,"4546 Hickory St, Omaha, NE 68106"
"$110,000",2bed,2bath,"1,440sqft","5,600sqft lot",Nebraska Realty,"3325 N 38th St, Omaha, NE 68111"
"$165,000",3bed,2.5bath,"1,298sqft",0.23acre lot,BHHS Ambassador Real Estate,"2808 N 68th St, Omaha, NE 68104"
"$169,999",3bed,1bath,"1,645sqft","8,276sqft lot",kwELITE Real Estate,"4319 N 58th St, Omaha, NE 68104"
"$298,900",4bed,2.5bath,"2,077sqft",0.24acre lot,BHHS Ambassador Real Estate,"16808 L Cir, Omaha, NE 68135"
"$299,900",3bed,3bath,"2,075sqft","9,583sqft lot",BHHS Ambassador Real Estate,"6422 N 148th St, Omaha, NE 68116"
"$595,000",5bed,3bath,"3,145sqft",0.26acre lot,BHHS Ambassador Real Estate,"4618 N 192nd Ave, Omaha, NE 68022"
"$215,500",3bed,2bath,"1,856sqft","8,515sqft lot",Nebraska Realty Sarpy County,"8063 Castelar St, Omaha, NE 68124"
"$190,000",3bed,2bath,"1,470sqft","7,405sqft lot",Maxim Realty Group Llc,"1746 S 29th St, Omaha, NE 68105"
"$195,000",3bed,1bath,"2,492sqft",0.24acre lot,Peterson Bros Realty,"2147 S 61st Ave, Omaha, NE 68106"
"$215,000",,,,"7,100sqft lot",Nebraska Realty,"1114 S 29th St, Omaha, NE 68105"
"$175,000",3bed,1.5+bath,"2,069sqft","6,098sqft lot",BHHS Ambassador Real Estate,"3126 Hascall St, Omaha, NE 68105"
"$299,000",3bed,2.5bath,"2,624sqft",0.27acre lot,Nebraska Realty,"5027 N 105th St, Omaha, NE 68134"
"$195,000",2bed,2bath,"1,510sqft","6,100sqft lot",BHHS Ambassador Real Estate,"3502 N 45th Ave, Omaha, NE 68104"
"$232,000",3bed,2.5bath,"1,696sqft","6,098sqft lot",NP Dodge - Sarpy County Branch Office,"8819 N 83rd Ave, Omaha, NE 68122"
"$250,000",3bed,3bath,"2,207sqft","7,405sqft lot",kwELITE Real Estate,"7509 N 77th Ave, Omaha, NE 68122"
"$175,000",4bed,1bath,"1,201sqft",0.29acre lot,Nebraska Realty,"5209 N 50th St, Omaha, NE 68104"
"$415,000",5bed,4.5bath,"5,559sqft","9,583sqft lot",NP Dodge - 108Dodge Branch Office,"1806 Ranch Dr, Omaha, NE 68046"
"$310,000",3bed,3bath,"2,466sqft","4,356sqft lot",Bhhs Ambassador Real Estate,"16565 Cedar Cir, Omaha, NE 68130"
"$345,000",5bed,3.5+bath,"3,233sqft",0.23acre lot,Nebraska Realty,"15803 Drexel Cir, Omaha, NE 68135"
"$375,000",3bed,2bath,"2,025sqft",0.23acre lot,kwELITE Real Estate,"18352 Dewey Ave, Omaha, NE 68022"
"$499,000",5bed,3.5bath,"3,602sqft",0.32acre lot,Nebraska Realty,"3624 Paddock Rd, Omaha, NE 68124"
"$169,999",2bed,1bath,"1,044sqft","8,712sqft lot",BHHS Ambassador Real Estate,"5827 Oak St, Omaha, NE 68106"
"$725,000",4bed,4.5bath,"3,045sqft",0.23acre lot,BHHS Ambassador Real Estate,"702 N 57th Ave, Omaha, NE 68132"
"$260,000",3bed,2bath,"2,312sqft","6,534sqft lot",Nebraska Realty,"16418 Yates St, Omaha, NE 68116"
"$250,000",3bed,3bath,"2,248sqft","6,500sqft lot",BHHS Ambassador Real Estate,"5038 S 196th Cir, Omaha, NE 68135"
"$235,000",3bed,2.5bath,"1,694sqft","6,534sqft lot",Nebraska Realty,"15116 Spencer St, Omaha, NE 68116"
"$499,900",4bed,3.5bath,"3,785sqft",0.57acre lot,BHHS Ambassador Real Estate,"3316 N 161st Ter, Omaha, NE 68116"
"$330,000",3bed,3bath,"1,840sqft",0.41acre lot,NP Dodge - 148Dodge Branch Office,"2908 Bridgeford Rd, Omaha, NE 68124"
"$245,000",3bed,2bath,"1,432sqft","1,045sqft lot",Bhhs Ambassador Real Estate,"15203 Rock Creek Dr, Omaha, NE 68138"
"$210,000",3bed,2.5bath,"1,590sqft","6,030sqft lot",Nebraska Realty,"8624 N 81st Ave, Omaha, NE 68122"
"$240,000",3bed,2.5bath,"2,082sqft","5,227sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"2222 N 125th Avenue Cir, Omaha, NE 68164"
"$189,900",3bed,2bath,"1,620sqft","6,098sqft lot",BHHS Ambassador Real Estate,"4102 St, Omaha, NE 68107"
"$450,000",4bed,4bath,"3,523sqft",0.25acre lot,BHHS Ambassador Real Estate,"1894 N 153rd Ave, Omaha, NE 68154"
"$185,000",3bed,1bath,"1,436sqft","8,960sqft lot",Keller Williams Greater Omaha,"9335 Corby St, Omaha, NE 68134"
"$215,000",3bed,3bath,"1,684sqft",0.26acre lot,BHHS Ambassador Real Estate,"4717 N 116th Ave, Omaha, NE 68164"
"$675,000",5bed,5.5bath,"4,879sqft",0.35acre lot,Nebraska Realty,"1538 S 192nd Avenue Cir, Omaha, NE 68130"
"$674,900",4bed,3.5bath,"2,875sqft","4,356sqft lot",BHHS Ambassador Real Estate,"10910 S 175th St, Omaha, NE 68136"
"$1,375,000",3bed,2bath,"2,572sqft",30acre lot,BHHS Ambassador Real Estate,"5411 Harrison St, Omaha, NE 68157"
"$665,000",4bed,3.5bath,"3,111sqft",0.27acre lot,BHHS Ambassador Real Estate,"10816 S 176th St, Omaha, NE 68136"
"$225,000",2bed,2bath,"1,180sqft","4,356sqft lot",Bhhs Ambassador Real Estate,"1857 N 176th Ct, Omaha, NE 68118"
"$140,000",2bed,2bath,"1,410sqft",,Coldwell Banker NHS RE,"12727 W Dodge Rd Apt 393C, Omaha, NE 68154"
"$180,000",2bed,1.5bath,"1,883sqft","2,352sqft lot",Nebraska Realty,"3520 S 57th Plz, Omaha, NE 68106"
"$169,000",2bed,1.5bath,"1,128sqft","6,120sqft lot",Nebraska Realty,"6042 S 37th St, Omaha, NE 68107"
"$194,900",1bed,2bath,"1,222sqft","6,400sqft lot",Nebraska Realty,"2320 N 65th St, Omaha, NE 68104"
"$150,000",2bed,2bath,"1,475sqft","8,712sqft lot",BHHS Ambassador Real Estate,"11516 S 132nd St, Omaha, NE 68138"
"$99,500",2bed,1bath,"1,287sqft","4,530sqft lot",Liberty Core Real Estate,"4804 N 47th St, Omaha, NE 68104"
"$124,500",3bed,1bath,"1,096sqft","3,600sqft lot",Bhhs Ambassador Real Estate,"3653 Charles St, Omaha, NE 68131"
"$689,000",4bed,3bath,"3,698sqft",0.26acre lot,Ed Spencer Real Estate,"18560 Vinton St, Omaha, NE 68130"
"$279,900",5bed,3bath,"2,800sqft","9,148sqft lot",kwELITE Real Estate,"3742 Cornhusker Dr, Omaha, NE 68124"
"$769,900",4bed,3.5+bath,"4,249sqft",1.54acre lot,Bhhs Ambassador Real Estate,"21415 Cedarwood Rd, Omaha, NE 68022"
"$174,900",3bed,2bath,"1,082sqft","1,082sqft lot",Listwithfreedom.com,"7935 Vernon Ave, Omaha, NE 68134"
"$421,900",3bed,2bath,"1,644sqft",0.24acre lot,Regency Homes,"20007 Madison St, Omaha, NE 68135"
"$205,000",3bed,2.5bath,"1,730sqft",0.23acre lot,Nebraska Realty,"5215 Ida St, Omaha, NE 68152"
"$449,900",5bed,3bath,"3,584sqft",0.3acre lot,Nebraska Realty,"21705 Harney St, Elkhorn, NE 68022"
"$235,000",3bed,2.5bath,"1,850sqft","6,832sqft lot",NP Dodge - 148Dodge Branch Office,"8442 Craig Ave, Omaha, NE 68122"
"$260,000",3bed,2.5bath,"1,856sqft","4,356sqft lot",Platinum Realty LLC,"15838 Cherrywood St, Omaha, NE 68136"
"$319,900",4bed,2.5bath,"3,217sqft","9,250sqft lot",BHHS Ambassador Real Estate,"2334 S 155th Cir, Omaha, NE 68144"
"$275,000",4bed,2bath,"1,856sqft",0.24acre lot,Listwithfreedom.com,"2109 S 123rd Ave, Omaha, NE 68144"
"$185,000",5bed,3bath,"2,720sqft","6,950sqft lot",BHHS Ambassador Real Estate,"4826 Manderson St, Omaha, NE 68104"
"$360,000",4bed,2.5bath,"2,483sqft","6,000sqft lot",Bhhs Ambassador Real Estate,"5127 Decatur St, Omaha, NE 68104"
"$1,595,000",5bed,5.5bath,"6,215sqft",0.43acre lot,Bhhs Ambassador Real Estate,"1310 S 78th Ave, Omaha, NE 68124"
"$80,000",3bed,1bath,"1,020sqft","6,098sqft lot",BHHS Ambassador Real Estate,"2520 N 65th St, Omaha, NE 68104"
"$95,000",3bed,2bath,972sqft,"6,500sqft lot",BHHS Ambassador Real Estate,"4223 S 21st St, Omaha, NE 68107"
"$81,900",4bed,1bath,"1,358sqft","3,920sqft lot",Landmark Group,"2846 Binney St, Omaha, NE 68111"
"$203,000",3bed,2bath,"1,530sqft",0.25acre lot,NP Dodge - Council Bluffs Branch Office,"9514 N 31st St, Omaha, NE 68112"
"$200,000",4bed,2bath,"1,641sqft","7,841sqft lot",BHHS Ambassador Real Estate,"10921 Jones St, Omaha, NE 68154"
"$145,000",3bed,1bath,"1,290sqft","4,792sqft lot",BHHS Ambassador Real Estate,"3073 Martin Ave, Omaha, NE 68112"
"$319,900",3bed,2.5bath,"2,195sqft","7,841sqft lot",BHHS Ambassador Real Estate,"4206 N 162nd Ave, Omaha, NE 68116"
"$145,000",3bed,2bath,912sqft,"8,188sqft lot",Bhhs Ambassador Real Estate,"6808 S 36th St, Omaha, NE 68107"
"$1,175,000",6bed,4.5+bath,"6,149sqft",0.53acre lot,Nexthome Signature Real Estate,"3410 N 140th St, Omaha, NE 68164"
"$175,000",5bed,1bath,"2,303sqft","6,534sqft lot",kwELITE Real Estate,"3942 N 66th St, Omaha, NE 68104"
"$125,000",3bed,1bath,"1,225sqft","7,000sqft lot",Nebraska Realty,"5709 Manderson St, Omaha, NE 68104"
"$450,000",4bed,4bath,"3,009sqft",0.24acre lot,RE/MAX Results,"5310 S 165th St, Omaha, NE 68135"
"$300,000",3bed,2.5bath,"2,527sqft","7,820sqft lot",Better Homes And Gardens R.E.,"733 N 155th St, Omaha, NE 68154"
"$330,000",3bed,2bath,"1,776sqft",0.25acre lot,P J MORGAN REAL ESTATE,"2631 N 165th Ave, Omaha, NE 68116"
"$249,950",3bed,2.5bath,"1,433sqft","8,125sqft lot",Johnson Realty,"6523 N 105th Ave, Omaha, NE 68122"
"$230,000",3bed,2bath,"1,543sqft","7,013sqft lot",BHHS Ambassador Real Estate,"7417 S 155th St, Omaha, NE 68138"
"$400,000",4bed,2.5bath,"2,113sqft","5,586sqft lot",Bhhs Ambassador Real Estate,"727 N 58th St, Omaha, NE 68132"
"$515,000",4bed,2.5bath,"2,716sqft",0.26acre lot,Nebraska Realty,"20723 Nina St, Omaha, NE 68022"
"$174,900",3bed,2bath,"1,392sqft","7,405sqft lot",Milford Real Estate,"4921 N 60th St, Omaha, NE 68104"
"$199,900",3bed,2bath,"1,896sqft","5,663sqft lot",Exp Realty Llc,"2148 S 48th Ave, Omaha, NE 68106"
"$499,950",3bed,2.5bath,"2,424sqft","6,057sqft lot",NP Dodge - 148Dodge Branch Office,"1320 S 118th St, Omaha, NE 68144"
"$119,500",1bed,1bath,598sqft,,Keller Williams Greater Omaha,"300 S 16th St Apt 808, Omaha, NE 68102"
"$499,950",4bed,2.5bath,"2,634sqft","9,655sqft lot",NP Dodge - 148Dodge Branch Office,"1322 S 118th St, Omaha, NE 68144"
"$150,000",4bed,2bath,"1,649sqft","7,203sqft lot",Nebraska Realty,"4817 S 17th St, Omaha, NE 68107"
"$159,000",2bed,1bath,917sqft,,BHHS Ambassador Real Estate,"3828 Cass St Apt 5, Omaha, NE 68131"
"$125,000",2bed,2bath,960sqft,"6,534sqft lot",Exp Realty Llc,"2574 Ellison Ave, Omaha, NE 68111"
"$189,000",3bed,1.5bath,"1,432sqft","6,150sqft lot",Nebraska Realty,"3016 Marcy St, Omaha, NE 68105"
"$299,900",3bed,4bath,"2,756sqft","6,970sqft lot",Bhhs Ambassador Real Estate,"2611 N 164th Cir, Omaha, NE 68116"
"$108,000",3bed,1bath,"1,560sqft","4,792sqft lot",BHHS Ambassador Real Estate,"3927 Florence Blvd, Omaha, NE 68110"
"$499,000",4bed,3bath,"3,927sqft",0.26acre lot,BHHS Ambassador Real Estate,"6811 N 162nd St, Omaha, NE 68116"
"$699,950",4bed,3bath,"3,242sqft",0.23acre lot,Bhhs Ambassador Real Estate,"3626 S 205th St, Omaha, NE 68022"
"$99,000",2bed,1bath,"1,200sqft","6,316sqft lot",BHHS Ambassador Real Estate,"1003 N 50th Ave, Omaha, NE 68132"
"$175,000",4bed,2bath,"1,774sqft","8,712sqft lot",Bhhs Ambassador Real Estate,"4310 S 26th St, Omaha, NE 68107"
"$88,000",2bed,1bath,"1,109sqft","4,356sqft lot",BHHS Ambassador Real Estate,"1710 Sahler St, Omaha, NE 68110"
"$165,000",3bed,2bath,"1,220sqft","4,792sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"3564 S 40th St, Omaha, NE 68105"
"$575,000",3bed,2.5+bath,"3,841sqft",0.45acre lot,BHHS Ambassador Real Estate,"1229 Pine Rd, Omaha, NE 68144"
"$220,000",3bed,2.5+bath,"3,127sqft","7,875sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"12417 Ohern St, Omaha, NE 68137"
"$202,500",1bed,1bath,947sqft,,BHHS Ambassador Real Estate,"200 S 31st Ave Apt 4510, Omaha, NE 68131"
"$130,000",3bed,1.5bath,"1,672sqft","5,280sqft lot",Menke Auction & Realty,"2744 Redick Ave, Omaha, NE 68112"
"$425,000",5bed,3bath,"2,440sqft",0.32acre lot,NP Dodge - 204Dodge Branch Office,"3126 S 104th Ave, Omaha, NE 68124"
"$310,000",4bed,2.5bath,"3,457sqft","9,148sqft lot",BHHS Ambassador Real Estate,"8437 S 65th St, Omaha, NE 68157"
"$475,000",3bed,3bath,"3,570sqft",0.25acre lot,BHHS Ambassador Real Estate,"17111 S St, Omaha, NE 68135"
"$136,000",2bed,1bath,609sqft,"6,098sqft lot",Nebraska Realty,"6336 Wirt St, Omaha, NE 68104"
"$110,000",2bed,1bath,926sqft,"3,920sqft lot",BHHS Ambassador Real Estate,"3162 Curtis Ave, Omaha, NE 68111"
"$295,000",5bed,4bath,"2,878sqft",0.26acre lot,BHHS Ambassador Real Estate,"12664 Meredith Ave, Omaha, NE 68164"
"$75,000",3bed,1bath,980sqft,"6,098sqft lot",BHHS Ambassador Real Estate,"3174 Ames Ave, Omaha, NE 68111"
"$313,000",4bed,2.5bath,"2,460sqft","8,750sqft lot",Omaha Home Sales,"1705 N 160th St, Omaha, NE 68118"
"$159,000",5bed,2bath,"1,082sqft","6,930sqft lot",Bhhs Ambassador Real Estate,"4483 Ellison Ave, Omaha, NE 68111"
"$535,000",4bed,2.5bath,"3,240sqft",0.25acre lot,NP Dodge - 108Dodge Branch Office,"5417 N 166th Ave, Omaha, NE 68116"
"$220,000",4bed,2bath,"1,475sqft","5,632sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"4171 Chicago St, Omaha, NE 68131"
"$250,000",3bed,2.5bath,"2,025sqft","7,405sqft lot",NP Dodge - 108Dodge Branch Office,"7926 S 151st Ave, Omaha, NE 68138"
"$309,950",5bed,1.5bath,"2,040sqft","6,534sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"4925 Chicago St, Omaha, NE 68132"
"$299,000",3bed,2bath,"1,950sqft","9,750sqft lot",NP Dodge - 108Dodge Branch Office,"1513 N 59th St, Omaha, NE 68104"
"$195,000",2bed,1.5bath,"1,355sqft","5,031sqft lot",BHHS Ambassador Real Estate,"4603 Woolworth Ave, Omaha, NE 68106"
"$195,000",3bed,1.5bath,"1,369sqft","6,970sqft lot",BHHS Ambassador Real Estate,"10429 Laurel Ave, Omaha, NE 68134"
"$269,500",4bed,2bath,"2,308sqft",0.25acre lot,NP Dodge - 204Dodge Branch Office,"3616 S 114th St, Omaha, NE 68144"
"$155,000",3bed,1bath,"1,414sqft","8,700sqft lot",Bhhs Ambassador Real Estate,"8478 Orchard Ave, Omaha, NE 68127"
"$555,000",4bed,2.5+bath,"2,674sqft","6,156sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"661 N 57th Ave, Omaha, NE 68132"
"$310,000",4bed,2.5bath,"2,479sqft",0.34acre lot,Better Homes and Gardens Real Estate The Good Life Group,"2222 S 84th St, Omaha, NE 68124"
"$425,000",4bed,3.5bath,"3,461sqft",0.23acre lot,Better Homes and Gardens Real Estate The Good Life Group,"16660 Y St, Omaha, NE 68135"
"$180,000",2bed,1bath,840sqft,"6,050sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"5065 Blondo St, Omaha, NE 68104"
"$180,000",4bed,2bath,"1,332sqft","4,792sqft lot",Bhhs Ambassador Real Estate,"3820 Valley St, Omaha, NE 68105"
"$159,900",9bed,4bath,,"6,500sqft lot",Keller Williams Greater Omaha,"4608 S 22nd St, Omaha, NE 68107"
"$89,900",2bed,1.5bath,"1,450sqft","1,481sqft lot",NP Dodge - 204Dodge Branch Office,"3206 Florence Blvd, Omaha, NE 68110"
"$225,000",2bed,2.5bath,"1,552sqft",0.32acre lot,Better Homes and Gardens Real Estate The Good Life Group,"201 N 48th St, Omaha, NE 68132"
"$280,000",5bed,3.5bath,"1,952sqft","5,225sqft lot",P J MORGAN REAL ESTATE,"3271 Spring St, Omaha, NE 68105"
"$347,500",4bed,3.5bath,"3,106sqft","8,712sqft lot",Nebraska Realty,"1424 N 160th Ave, Omaha, NE 68118"
"$129,950",1bed,1bath,756sqft,,Better Homes and Gardens Real Estate The Good Life Group,"105 N 31st Ave, Omaha, NE 68131"
"$90,000",3bed,1bath,"1,094sqft","3,485sqft lot",NP Dodge - 204Dodge Branch Office,"3824 Paxton Blvd, Omaha, NE 68111"
"$259,900",3bed,2bath,"1,599sqft",,Keller Williams Greater Omaha,"105 N 31st St Unit 904, Omaha, NE 68131"
"$1,200,000",5bed,5.5bath,"6,593sqft",0.54acre lot,NP Dodge - 108Dodge Branch Office,"9611 Oak Cir, Omaha, NE 68124"
"$340,000",4bed,3.5bath,"2,652sqft","9,250sqft lot",Coldwell Banker NHS RE,"4508 S 149th Ter, Omaha, NE 68137"
"$180,000",3bed,1bath,"1,372sqft","4,565sqft lot",Nebraska Realty,"4418 California St, Omaha, NE 68131"
"$228,000",3bed,2bath,"1,378sqft","6,970sqft lot",NP Dodge - 108Dodge Branch Office,"15316 Green Ave, Omaha, NE 68138"
"$175,000",3bed,2bath,"1,853sqft","5,200sqft lot",NP Dodge - 108Dodge Branch Office,"4514 S 18th St, Omaha, NE 68107"
"$260,000",3bed,2.5bath,"2,040sqft","8,276sqft lot",Nebraska Realty,"14718 Castelar Cir, Omaha, NE 68144"
"$185,000",3bed,1bath,"1,408sqft","5,663sqft lot",RAINBOW REALTY,"4244 Burdette St, Omaha, NE 68111"
"$145,000",2bed,1bath,986sqft,"4,792sqft lot",Tnt Realty Inc,"4915 Erskine St, Omaha, NE 68104"
"$150,000",3bed,2bath,"1,348sqft","5,663sqft lot",Wistar Real Estate LLC,"4186 Cass St, Omaha, NE 68131"
"$275,000",3bed,2bath,"2,267sqft",0.23acre lot,NP Dodge - 148Dodge Branch Office,"1813 N 59th St, Omaha, NE 68104"
"$110,000",3bed,1bath,992sqft,"8,712sqft lot",kwELITE Real Estate,"2724 S 42nd St, Omaha, NE 68105"
"$195,000",3bed,2bath,"1,328sqft","5,227sqft lot",Redfin Corporation,"2206 N 167th Ave, Omaha, NE 68116"
"$101,000",2bed,2bath,"1,288sqft","1,813sqft lot",Nebraska Realty Sarpy County,"2715 Pacific St, Omaha, NE 68105"
"$320,000",3bed,3bath,"2,617sqft",0.29acre lot,BHHS Ambassador Real Estate,"913 S 131st St, Omaha, NE 68154"
"$270,000",3bed,2.5+bath,"2,420sqft","4,356sqft lot",Bhhs Ambassador Real Estate,"15734 Seward St, Omaha, NE 68118"
"$410,000",4bed,3.5+bath,"3,748sqft",0.27acre lot,NP Dodge - 204Dodge Branch Office,"10209 Monroe St, Omaha, NE 68127"
"$450,000",6bed,4bath,"3,756sqft",0.41acre lot,BHHS Ambassador Real Estate,"3434 N 161st Ter, Omaha, NE 68116"
"$199,000",3bed,2.5bath,"1,890sqft","6,930sqft lot",Bhhs Ambassador Real Estate,"15207 Locust St, Omaha, NE 68116"
"$220,000",3bed,2bath,"1,356sqft",0.33acre lot,Nebraska Realty,"17847 Edna St, Omaha, NE 68136"
"$159,000",3bed,1bath,"1,186sqft","7,405sqft lot",Nebraska Realty,"1018 N 78th St, Omaha, NE 68114"
"$115,000",2bed,2bath,736sqft,"7,841sqft lot",Nebraska Realty,"4322 J St, Omaha, NE 68107"
"$297,500",3bed,2.5bath,"2,144sqft",0.26acre lot,Bhhs Ambassador Real Estate,"12712 Gold St, Omaha, NE 68144"
"$259,000",3bed,2.5bath,"1,432sqft","5,663sqft lot",Bhhs Ambassador Real Estate,"4540 William St, Omaha, NE 68106"
"$345,900",4bed,2bath,"2,165sqft",0.31acre lot,P J MORGAN REAL ESTATE,"7852 Dewey Cir, Omaha, NE 68114"
"$245,000",3bed,2bath,"1,965sqft","7,500sqft lot",Stevens Real Estate,"5080 S 106 St, Omaha, NE 68127"
"$199,900",2bed,1.5bath,"1,385sqft",0.33acre lot,Nebraska Realty,"13117 St, Omaha, NE 68137"
"$359,000",4bed,3bath,"2,923sqft","9,250sqft lot",MALOY REAL ESTATE,"15445 Briar St, Omaha, NE 68138"
"$195,000",3bed,2.5bath,"1,301sqft","4,792sqft lot",Nebraska Realty,"12815 Miami Cir, Omaha, NE 68164"
"$175,000",3bed,2bath,"1,482sqft","8,712sqft lot",Nebraska Realty,"7009 S 52nd St, Omaha, NE 68157"
"$157,000",3bed,1bath,960sqft,"6,534sqft lot",Nebraska Realty,"5810 Taylor St, Omaha, NE 68104"
"$190,000",3bed,2bath,"1,508sqft","7,215sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"4930 S 121st St, Omaha, NE 68137"
"$199,900",3bed,2bath,"1,312sqft","6,534sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"15211 Jefferson St, Omaha, NE 68137"
"$385,000",3bed,3bath,"2,718sqft","9,583sqft lot",Exp Realty Llc,"10907 S 186th Ave, Omaha, NE 68136"
"$526,337",4bed,3bath,"3,022sqft",0.33acre lot,BHHS Ambassador Real Estate,"21827 G St, Omaha, NE 68022"
"$164,500",2bed,2bath,"1,212sqft","3,300sqft lot",Bhhs Ambassador Real Estate,"5821 Hascall St, Omaha, NE 68106"
"$240,000",2bed,2bath,"1,305sqft","7,057sqft lot",BHHS Ambassador Real Estate,"15605 Gertrude St, Omaha, NE 68136"
