price,beds,baths,sqft,sqftlot,broker,address
"$189,900",3bed,1bath,"1,638sqft","8,276sqft lot",kwELITE Real Estate,"8613 Grover St, Omaha, NE 68124"
"$135,000",2bed,1bath,807sqft,"6,534sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"1823 N 49th Ave, Omaha, NE 68104"
"$195,000",3bed,3bath,"1,785sqft","3,920sqft lot",BHHS Ambassador Real Estate,"1111 S 30th Ave, Omaha, NE 68105"
"$260,000",3bed,2.5bath,"1,913sqft","7,800sqft lot",NP Dodge - Sarpy County Branch Office,"1819 S 169th Cir, Omaha, NE 68130"
"$260,000",3bed,1.5+bath,"2,560sqft",0.33acre lot,BHHS Ambassador Real Estate,"5805 Sprague St, Omaha, NE 68104"
"$285,000",3bed,2.5bath,"1,665sqft","5,676sqft lot",Nebraska Realty,"4623 Pacific St, Omaha, NE 68106"
"$329,000",4bed,2.5bath,"2,547sqft",0.26acre lot,Better Homes and Gardens Real Estate The Good Life Group,"904 S 110th Plz, Omaha, NE 68154"
"$149,000",3bed,2bath,"1,686sqft","6,970sqft lot",NP Dodge - 108Dodge Branch Office,"4125 N 61st St, Omaha, NE 68104"
"$170,000",3bed,1.5bath,"1,275sqft","8,712sqft lot",Bhhs Ambassador Real Estate,"4622 Parkview Dr, Omaha, NE 68134"
"$226,000",3bed,2.5bath,"2,051sqft","5,227sqft lot",BHHS Ambassador Real Estate,"5705 N 116th Cir, Omaha, NE 68164"
"$225,000",3bed,2bath,"1,970sqft","4,792sqft lot",Nebraska Realty,"3552 Jackson St, Omaha, NE 68105"
"$179,000",3bed,2.5bath,"1,744sqft","7,850sqft lot",Coldwell Banker NHS RE,"3418 S 14th St, Omaha, NE 68108"
"$300,000",4bed,2.5bath,"3,142sqft",0.23acre lot,Bhhs Ambassador Real Estate,"10229 Polk St, Omaha, NE 68127"
"$194,500",4bed,2bath,"1,656sqft","7,841sqft lot",BHHS Ambassador Real Estate,"8562 Fowler Ave, Omaha, NE 68134"
"$265,000",3bed,3bath,"2,256sqft",0.28acre lot,Nebraska Realty,"14281 Redick Ave, Omaha, NE 68164"
"$179,000",3bed,1bath,"1,762sqft","6,970sqft lot",BHHS Ambassador Real Estate,"2923 S 116th Ave, Omaha, NE 68144"
"$200,000",3bed,2bath,"1,424sqft",0.39acre lot,Bhhs Ambassador Real Estate,"3075 S 48th St, Omaha, NE 68106"
"$275,000",4bed,2.5bath,"2,447sqft","7,841sqft lot",BHHS Ambassador Real Estate,"4209 N 147th St, Omaha, NE 68116"
"$282,000",3bed,2bath,"1,956sqft","5,663sqft lot",BHHS Ambassador Real Estate,"7751 N 88th Ave, Omaha, NE 68122"
"$275,000",3bed,2.5bath,"1,830sqft","9,583sqft lot",Coldwell Banker NHS RE,"5412 S 105th St, Omaha, NE 68127"
"$240,000",3bed,3bath,"1,758sqft","5,227sqft lot",Nebraska Realty,"5815 Briggs St, Omaha, NE 68106"
"$280,000",4bed,3bath,"2,384sqft","9,583sqft lot",BHHS Ambassador Real Estate,"5805 S 160th St, Omaha, NE 68135"
"$320,000",4bed,3.5bath,"3,021sqft",0.25acre lot,Platinum Realty LLC,"2304 N 164th St, Omaha, NE 68116"
"$250,000",4bed,2bath,"2,240sqft","9,238sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"5905 S 102nd St, Omaha, NE 68127"
"$675,000",4bed,3bath,"3,098sqft",0.36acre lot,Bhhs Ambassador Real Estate,"1520 S 83rd St, Omaha, NE 68124"
"$230,000",3bed,2.5bath,"1,938sqft",0.24acre lot,NP Dodge - 204Dodge Branch Office,"4823 N 118th St, Omaha, NE 68164"
"$225,000",4bed,2bath,"2,192sqft",0.26acre lot,kwELITE Real Estate,"4627 Center St, Omaha, NE 68106"
"$450,000",4bed,3bath,"3,021sqft","8,712sqft lot",BHHS Ambassador Real Estate,"809 S 188th Ter, Omaha, NE 68022"
"$450,000",5bed,3.5bath,"3,327sqft","9,880sqft lot",BHHS Ambassador Real Estate,"2207 N 170th St, Omaha, NE 68116"
"$760,000",6bed,3.5bath,"4,465sqft",0.28acre lot,BHHS Ambassador Real Estate,"2505 N 188th St, Omaha, NE 68022"
"$425,000",4bed,3.5+bath,"3,759sqft",0.25acre lot,NP Dodge - 204Dodge Branch Office,"15944 Mary St, Omaha, NE 68116"
"$275,000",3bed,2bath,"1,589sqft","8,400sqft lot",Synergy Real Estate & Dev Corp,"2222 N 204th Ter, Elkhorn, NE 68022"
"$320,000",4bed,2.5+bath,"2,605sqft","7,405sqft lot",Bhhs Ambassador Real Estate,"16531 Yort Ave, Omaha, NE 68116"
"$465,000",5bed,4bath,"3,401sqft",0.29acre lot,BHHS Ambassador Real Estate,"17311 Drexel St, Omaha, NE 68135"
"$389,000",5bed,3.5bath,"3,135sqft","7,261sqft lot",Bhhs Ambassador Real Estate,"6703 S 164th Ave, Omaha, NE 68135"
"$320,000",4bed,3bath,"2,890sqft","8,987sqft lot",BHHS Ambassador Real Estate,"7406 S 189th St, Omaha, NE 68136"
"$435,000",4bed,3.5bath,"3,398sqft",0.29acre lot,BHHS Ambassador Real Estate,"1518 S 174th Cir, Omaha, NE 68130"
"$265,000",3bed,2.5bath,"1,591sqft",0.37acre lot,Nebraska Realty,"5926 S 187th Avenue Cir, Omaha, NE 68135"
"$499,000",5bed,4.5bath,"3,521sqft",0.24acre lot,BHHS Ambassador Real Estate,"19706 Nina St, Omaha, NE 68130"
"$127,500",1bed,1bath,717sqft,"4,356sqft lot",Nebraska Realty,"312 S 16th St Apt 503, Omaha, NE 68102"
